accepted	Lprev	Lstar	alpha	minimum	time
0		-410.404480	-415.996325	0.003728	1.226625e-08	1.536483e+00
1		-410.693515	-410.693515	0.748987	1.207921e-08	1.498027e+00
2		-408.830807	-408.830807	1.000000	1.204505e-08	1.489439e+00
3		-404.851619	-404.851619	1.000000	1.214847e-08	1.495560e+00
4		-404.435796	-404.435796	1.000000	1.278611e-08	1.492839e+00
5		-404.276935	-404.276935	1.000000	1.278750e-08	1.545733e+00
5		-404.276935	-404.975856	0.497121	1.302149e-08	1.536604e+00
5		-404.276935	-418.133589	0.000001	1.203494e-08	1.545969e+00
6		-403.493127	-403.493127	1.000000	1.328113e-08	1.540037e+00
7		-396.110003	-396.110003	1.000000	1.337556e-08	1.541057e+00
7		-396.110003	-398.883875	0.062420	1.305633e-08	1.530763e+00
7		-396.110003	-406.510341	0.000030	1.338905e-08	1.557634e+00
8		-393.610649	-393.610649	1.000000	1.366000e-08	1.540815e+00
9		-387.503382	-387.503382	1.000000	1.353514e-08	1.524450e+00
10		-384.226471	-384.226471	1.000000	1.355290e-08	1.513457e+00
11		-376.726761	-376.726761	1.000000	1.343698e-08	1.541213e+00
12		-373.800804	-373.800804	1.000000	1.400613e-08	1.541393e+00
12		-373.800804	-374.002988	0.816944	1.376840e-08	1.653269e+00
12		-373.800804	-380.683022	0.001026	1.358231e-08	1.532467e+00
13		-371.109046	-371.109046	1.000000	1.390718e-08	1.537895e+00
14		-369.856907	-369.856907	1.000000	1.349196e-08	1.492854e+00
14		-369.856907	-371.890191	0.130905	1.312881e-08	1.497091e+00
14		-369.856907	-373.994033	0.015969	1.320974e-08	1.492403e+00
15		-367.823731	-367.823731	1.000000	1.382987e-08	1.561285e+00
15		-367.823731	-371.039219	0.040136	1.357654e-08	1.520960e+00
16		-365.985266	-365.985266	1.000000	1.411074e-08	1.497541e+00
17		-361.188039	-361.188039	1.000000	1.446989e-08	1.528508e+00
17		-361.188039	-368.130449	0.000966	1.496299e-08	1.502034e+00
18		-360.817667	-360.817667	1.000000	1.374943e-08	1.537416e+00
18		-360.817667	-361.908219	0.336031	1.329156e-08	1.492324e+00
19		-360.359172	-360.359172	1.000000	1.390018e-08	1.524691e+00
20		-360.436407	-360.436407	0.925672	1.418820e-08	1.513219e+00
21		-354.183553	-354.183553	1.000000	1.411400e-08	1.540728e+00
21		-354.183553	-356.155547	0.139179	1.455587e-08	1.541987e+00
22		-351.345939	-351.345939	1.000000	1.424907e-08	1.490856e+00
23		-345.758331	-345.758331	1.000000	1.498970e-08	1.491684e+00
23		-345.758331	-352.136379	0.001698	1.504483e-08	1.489793e+00
24		-344.071857	-344.071857	1.000000	1.501206e-08	1.541582e+00
24		-344.071857	-344.925973	0.425659	1.566128e-08	1.542050e+00
24		-344.071857	-356.486526	0.000004	1.488883e-08	1.568784e+00
25		-337.060625	-337.060625	1.000000	1.463376e-08	1.513798e+00
26		-334.844135	-334.844135	1.000000	1.407362e-08	1.540365e+00
27		-331.534756	-331.534756	1.000000	1.403705e-08	1.529161e+00
28		-331.347803	-331.347803	1.000000	1.364436e-08	1.541779e+00
29		-326.536490	-326.536490	1.000000	1.391526e-08	1.496614e+00
30		-325.998733	-325.998733	1.000000	1.420476e-08	1.492334e+00
30		-325.998733	-330.200186	0.014974	1.394462e-08	1.488521e+00
31		-326.219620	-326.219620	0.801807	1.370691e-08	1.525636e+00
32		-324.196163	-324.196163	1.000000	1.338431e-08	1.514315e+00
32		-324.196163	-329.590928	0.004540	1.343209e-08	1.520611e+00
32		-324.196163	-331.365460	0.000770	1.302265e-08	1.494862e+00
32		-324.196163	-333.196689	0.000123	1.288050e-08	1.508048e+00
32		-324.196163	-329.220411	0.006577	1.305761e-08	1.520581e+00
33		-322.273577	-322.273577	1.000000	1.378358e-08	1.514447e+00
34		-321.328501	-321.328501	1.000000	1.407095e-08	1.529327e+00
34		-321.328501	-329.195299	0.000383	1.461818e-08	1.494501e+00
35		-320.721301	-320.721301	1.000000	1.455571e-08	1.545760e+00
36		-320.114684	-320.114684	1.000000	1.420905e-08	1.536825e+00
36		-320.114684	-324.240733	0.016147	1.412428e-08	1.532067e+00
37		-321.038003	-321.038003	0.397198	1.441620e-08	1.503797e+00
38		-314.525973	-314.525973	1.000000	1.405278e-08	1.498100e+00
